시군구코드,업태명,업소명,소재지도로명,소재지지번,지도점검일자,처분명,ㅉ,위반일자,처분내용,위도,경도
3190000,치킨,요모조모,서울특별시 동작구 동작대로7길 4 (사당동),서울특별시 동작구 사당동  1030번지 14호  ,20050212,영업정지2월,식품위생법 제31조,20050212,영업정지2월,126.981281,37.4800602
3190000,치킨,썬스타,서울특별시 동작구 장승배기로10길 18 (상도동),서울특별시 동작구 상도동  179번지 7호  ,20100511,영업정지 1월,식품위생법 제44조,20100511,영업정지 1월,126.940051,37.5045803
3190000,치킨,투다리,서울특별시 동작구 노량진로8길 36 (노량진동),서울특별시 동작구 노량진동  258번지 40호  ,20070412,과태료부과,식품위생법 제26조제1항,20070319,과태료부과,126.937228,37.5124445
3190000,치킨,고추전쟁,서울특별시 동작구 여의대방로24길 141 (대방동),서울특별시 동작구 대방동  407번지 29호  ,20051009,영업정지 15일 및 과징금50만원,식품위생법 58조,20051009,영업정지 15일 및 과징금50만원,126.92791,37.4991764
