,소재지도로명,위도,경도,시군구코드,업태명,업소명,소재지도로명.1,소재지지번,지도점검일자,처분명,ㅉ,위반일자,처분내용
72,서울특별시 동작구 동작대로7길 4 (사당동),37.4905936,126.9081838,3190000.0,치킨,한강치킨호프,서울특별시 동작구 동작대로7길 4 (사당동),서울특별시 동작구 사당동 1030번지 13호,20100927.0,시정명령,식품위생법 제71조 및 시행규칙 81조,20100928.0,시정명령
73,서울특별시 동작구 시흥대로 662 (신대방동),37.4773805,126.9805717,3190000.0,치킨,코메디,서울특별시 동작구 시흥대로 662 (신대방동),서울특별시 동작구 신대방동 591번지 4호,20130318.0,영업소폐쇄,식품위생법 제37조 및 제75조,20130318.0,영업소폐쇄
74,서울특별시 동작구 사당로30길 166 (사당동),37.4860277,126.9811836,3190000.0,치킨,브람스,서울특별시 동작구 사당로30길 166 (사당동),서울특별시 동작구 사당동 1041번지 15호,20170608.0,불문처리,법 제101조제2항 제1호,20170608.0,불문처리
75,서울특별시 동작구 동작대로27가길 35 (사당동),37.483462599999996,126.97288290000002,3190000.0,치킨,파랑돌,서울특별시 동작구 동작대로27가길 35 (사당동),서울특별시 동작구 사당동 145번지 29호,20070917.0,과태료부과,식품위생법 제26조,20070917.0,과태료부과
76,서울특별시 동작구 사당로 228 (사당동),37.5085388,126.96115060000001,3190000.0,치킨,볼보,서울특별시 동작구 사당로 228 (사당동),서울특별시 동작구 사당동 265번지 34호,20020529.0,과태료40만원,식품위생법제31조,20020620.0,과태료40만원
77,서울특별시 동작구 흑석로 111 (흑석동),37.5085388,126.96115060000001,3190000.0,치킨,둘둘치킨,서울특별시 동작구 흑석로 111 (흑석동),서울특별시 동작구 흑석동 181번지 11호,20180409.0,시설개수명령,법 제71조 법 제74조 및 법 제75조,20180409.0,시설개수명령
78,서울특별시 동작구 흑석로 111 (흑석동),37.4838831,126.9722213,3190000.0,치킨,둘둘치킨,서울특별시 동작구 흑석로 111 (흑석동),서울특별시 동작구 흑석동 181번지 11호,20180522.0,영업정지,법 제75조,20180522.0,영업정지
79,서울특별시 동작구 사당로 220 (사당동),37.4844602,126.97114040000001,3190000.0,치킨,Mr뭐니,서울특별시 동작구 사당로 220 (사당동),서울특별시 동작구 사당동 265번지 10호,20050530.0,과태료부과,식품위생법 제26조 및 제78조,20050530.0,과태료부과
80,서울특별시 동작구 사당로14가길 26 (사당동),37.4784274,126.9804592,3190000.0,치킨,토크쇼,서울특별시 동작구 사당로14가길 26 (사당동),서울특별시 동작구 사당동 250번지 2호,20021127.0,과태료40만원부과,식품위생법 제26조,20021127.0,과태료40만원부과
81,서울특별시 동작구 동작대로3길 16 (사당동),37.4852814,126.96818470000001,3190000.0,치킨,젠,서울특별시 동작구 동작대로3길 16 (사당동),서울특별시 동작구 사당동 1032번지 32호,20050428.0,과태료20만원 부과,식품위생법 제26조,20050428.0,과태료20만원 부과
82,서울특별시 동작구 솔밭로 102-1 (사당동),37.4993033,126.9271912,3190000.0,치킨,라구요,서울특별시 동작구 솔밭로 102-1 (사당동),서울특별시 동작구 사당동 224번지 27호,20080526.0,영업소폐쇄,식품위생법 제22조 위반,20080526.0,영업소폐쇄
83,서울특별시 동작구 여의대방로24길 129 (대방동),37.491289,126.92442199999999,3190000.0,치킨,두리랑,서울특별시 동작구 여의대방로24길 129 (대방동),서울특별시 동작구 대방동 407번지 46호,20110827.0,영업정지,식품위생법 제44조제2항,20110827.0,영업정지
84,서울특별시 동작구 보라매로5가길 16 (신대방동보라매아카데미타워 610 611호),37.4770414,126.9808567,3190000.0,치킨,하오,서울특별시 동작구 보라매로5가길 16 (신대방동보라매아카데미타워 610 611호),서울특별시 동작구 신대방동 395번지 69호 보라매아카데미타워 610 611호,20070412.0,과태료부과,식품위생법제26조제1항,20070201.0,과태료부과
85,서울특별시 동작구 동작대로1길 9-1 (사당동 10호(5층)),37.4874177,126.909199,3190000.0,치킨,벤노블렉스,서울특별시 동작구 동작대로1길 9-1 (사당동 10호(5층)),서울특별시 동작구 사당동 1043번지 9호 10호(5층),20091202.0,영업소폐쇄,식품위생법 제75조,20091202.0,영업소폐쇄
86,서울특별시 동작구 대림로 38 (신대방동),37.4874177,126.909199,3190000.0,치킨,백송,서울특별시 동작구 대림로 38 (신대방동),서울특별시 동작구 신대방동 690번지 14호,20071018.0,과징금부과,식품위생법 제31조제1항,20071018.0,과징금부과
87,서울특별시 동작구 대림로 38 (신대방동),37.4874177,126.909199,3190000.0,치킨,백송,서울특별시 동작구 대림로 38 (신대방동),서울특별시 동작구 신대방동 690번지 14호,20071018.0,과징금부과,식품위생법 제31조제1항 및 제58조 동법시행규칙 제53조,20071018.0,과징금부과
88,서울특별시 동작구 대림로 38 (신대방동),37.4893919,126.96958390000002,3190000.0,치킨,백송,서울특별시 동작구 대림로 38 (신대방동),서울특별시 동작구 신대방동 690번지 14호,20071018.0,과징금부과,식품위생법 제31조제1항 위반,20071018.0,과징금부과
89,서울특별시 동작구 사당로23바길 9 (사당동동작삼성래미안A상가 103호),37.4875706,126.90897179999999,3190000.0,치킨,헬로우치킨,서울특별시 동작구 사당로23바길 9 (사당동동작삼성래미안A상가 103호),서울특별시 동작구 사당동 1133번지 동작삼성래미안A상가 103호,20140515.0,시정명령,식품위생법 제71조,20140515.0,시정명령
90,서울특별시 동작구 대림로 40-1 (신대방동),37.4913946,126.92340300000001,3190000.0,치킨,연꽃,서울특별시 동작구 대림로 40-1 (신대방동),서울특별시 동작구 신대방동 690번지 8호,20080430.0,과태료부과,식품위생법 제27조,20080430.0,과태료부과
91,서울특별시 동작구 보라매로5길 43 (신대방동삼성쉐르빌상가 지하112호),37.4913946,126.92340300000001,3190000.0,치킨,엘바(LBAR),서울특별시 동작구 보라매로5길 43 (신대방동삼성쉐르빌상가 지하112호),서울특별시 동작구 신대방동 395번지 66호 삼성쉐르빌상가 지하112호,20070412.0,과태료부과(300000원),식품위생법 제26조제1항 및 식품위생법 제78조제1항제1호,20070213.0,과태료부과(300000원)
